Year,Month,Monthly_Max,Monthly_Min
2020,1,4.6,-16.3
2020,2,8.1,-17.2
2020,3,7.6,-14.3
2020,4,9.7,-6.4
2020,5,27.6,-1.7
2020,6,27.1,0.7
2020,7,26.8,4.9
2020,8,28.6,7.1
2020,9,26.6,2.4
2020,10,22.4,-2.0
2020,11,15.2,-7.6
2020,12,14.5,-7.4
2021,1,7.0,-9.8
2021,2,9.9,-12.8
2021,3,14.2,-9.7
2021,4,14.3,-5.3
2021,5,21.5,-3.2
2021,6,27.3,0.0
2021,7,27.2,5.4
2021,8,28.3,7.4
2021,9,24.4,2.1
2021,10,17.8,-2.4
2021,11,14.1,-5.2
2021,12,15.2,-12.4
2022,1,11.0,-16.0
2022,2,11.9,-14.1
2022,3,12.8,-12.4
2022,4,13.9,-5.4
2022,5,23.2,-3.6
2022,6,26.3,0.1
2022,7,30.3,7.6
2022,8,29.5,11.7
2022,9,28.1,3.7
2022,10,21.6,0.3
2022,11,16.1,-8.1
2022,12,11.0,-8.0
2023,1,13.9,-13.6
2023,2,6.0,-17.7
2023,3,4.4,-12.0
2023,4,10.6,-7.1
2023,5,19.0,-1.7
2023,6,27.3,0.8
2023,7,29.1,9.8
2023,8,24.1,8.9
2023,9,26.7,2.5
2023,10,18.9,-1.3
2023,11,13.8,-6.9
2023,12,12.6,-10.1
2024,1,7.1,-16.2
2024,2,8.5,-11.8
2024,3,15.1,-9.1
2024,4,15.9,-3.9
2024,5,24.1,-2.3
2024,6,30.1,4.8
2024,7,29.2,7.2
2024,8,29.2,7.0
2024,9,24.8,3.6
2024,10,19.4,-2.3
2024,11,14.4,-1.8
2024,12,,
