Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-01,2023,1,1,,6.0,,1.6,,3.8,,14.2,,0.0,,26.4,,0.0,,26.4,,,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-02,2023,1,2,,3.0,,-2.3,,0.4,,17.6,,0.0,,0.8,,1.6,,2.0,,0.0,T,1.0,,77.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-03,2023,1,3,,-1.0,,-4.1,,-2.6,,20.6,,0.0,,0.0,,0.0,T,0.0,T,1.0,E,31.0,,41.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-04,2023,1,4,,3.0,,-3.7,,-0.4,,18.4,,0.0,,0.0,,0.2,,0.2,,0.0,T,33.0,,54.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-05,2023,1,5,,-1.4,,-9.2,,-5.3,,23.3,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,33.0,,54.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-06,2023,1,6,,-3.0,,-9.2,,-6.1,,24.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-07,2023,1,7,,-1.3,,-4.5,,-2.9,,20.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-08,2023,1,8,,-0.9,,-4.5,,-2.7,,20.7,,0.0,,0.0,,3.6,,0.4,,1.0,E,34.0,,48.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-09,2023,1,9,,-0.7,,-8.4,,-4.6,,22.6,,0.0,,0.0,,0.8,,0.2,,2.0,,29.0,,65.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-10,2023,1,10,,-4.0,,-7.5,,-5.8,,23.8,,0.0,,0.0,,9.2,,9.2,,3.0,,5.0,,53.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-11,2023,1,11,,-4.0,,-9.7,,-6.9,,24.9,,0.0,,0.0,,0.4,,0.2,,15.0,,29.0,,48.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-12,2023,1,12,,-7.3,,-13.6,,-10.5,,28.5,,0.0,,0.0,,0.0,T,0.0,T,15.0,,29.0,,55.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-13,2023,1,13,,2.1,,-13.6,,-5.8,,23.8,,0.0,,0.4,,0.0,T,0.4,,10.0,E,19.0,,85.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-14,2023,1,14,,13.4,,2.1,,7.8,,10.2,,0.0,,5.6,,0.0,,5.6,,0.0,T,22.0,,86.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-15,2023,1,15,,13.9,,-0.3,,6.8,,11.2,,0.0,,33.5,,0.0,,33.5,,,,24.0,,70.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-16,2023,1,16,,8.6,,0.0,,4.3,,13.7,,0.0,,17.8,,0.0,,17.8,,,,19.0,,54.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-17,2023,1,17,,10.3,,5.5,,7.9,,10.1,,0.0,,4.4,,0.0,,4.4,,,,21.0,,52.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-18,2023,1,18,,8.4,,1.7,,5.1,,12.9,,0.0,,10.2,,0.0,,10.2,,,,26.0,,59.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-19,2023,1,19,,2.7,,-0.5,,1.1,,16.9,,0.0,,5.0,,0.8,,5.4,,0.0,T,28.0,,57.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-20,2023,1,20,,-0.4,,-1.1,,-0.8,,18.8,,0.0,,0.0,,15.2,,9.6,,1.0,,9.0,,57.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-21,2023,1,21,,-0.3,,-1.4,,-0.9,,18.9,,0.0,,0.0,,31.6,,26.8,,16.0,,3.0,,91.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-22,2023,1,22,,-1.3,,-6.2,,-3.8,,21.8,,0.0,,0.0,,3.6,,2.0,,45.0,,2.0,,75.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-23,2023,1,23,,1.3,,-5.2,,-2.0,,20.0,,0.0,,3.0,,4.4,,6.6,,45.0,,17.0,,100.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-24,2023,1,24,,6.4,,-0.3,,3.1,,14.9,,0.0,,10.2,,0.0,T,10.2,,21.0,,17.0,,88.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-25,2023,1,25,,1.5,,-7.4,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,13.0,,28.0,,64.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-26,2023,1,26,,3.3,,-7.8,,-2.3,,20.3,,0.0,,1.0,,0.0,,1.0,,12.0,,19.0,,87.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-27,2023,1,27,,7.5,,-2.0,,2.8,,15.2,,0.0,,11.4,,0.0,T,11.4,,9.0,,18.0,,90.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-28,2023,1,28,,-1.7,,-6.0,,-3.9,,21.9,,0.0,,0.0,,0.0,,0.0,,,,31.0,,48.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-29,2023,1,29,,3.5,,-5.8,,-1.2,,19.2,,0.0,,0.0,,0.0,T,0.0,T,5.0,,28.0,,77.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-30,2023,1,30,,6.4,,-4.6,,0.9,,17.1,,0.0,,6.6,,2.4,,8.4,,4.0,,24.0,,69.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-01-31,2023,1,31,,1.3,,-3.7,,-1.2,,19.2,,0.0,,0.4,,6.2,,5.4,,3.0,E,2.0,,72.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-01,2023,2,1,,-3.7,,-16.3,,-10.0,,28.0,,0.0,,0.0,,0.4,,0.2,,9.0,,36.0,,55.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-02,2023,2,2,,-6.8,,-15.2,,-11.0,,29.0,,0.0,,0.0,,2.0,,1.2,,9.0,,34.0,,43.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-03,2023,2,3,,2.3,,-7.7,,-2.7,,20.7,,0.0,,13.0,,13.8,,26.8,,10.0,,27.0,,90.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-04,2023,2,4,,-6.3,,-15.3,,-10.8,,28.8,,0.0,,0.0,,5.6,,1.1,,16.0,,25.0,,93.0,
